secs,km,alt
1041,7.23594,539.8
1042,7.24151,540
1043,7.24707,540.2
1044,7.25622,540.6
1045,7.2638,540.7
1046,7.27138,540.8
1047,7.27896,540.9
1048,7.28654,541
1049,7.29261,541.04
1050,7.29867,541.08
1051,7.30474,541.12
1052,7.3108,541.16
1053,7.31687,541.2
1054,7.32288,541.4
1055,7.32889,541.6
1056,7.3376,541.9
1057,7.3463,542.2
1058,7.35306,542.4
1059,7.35981,542.6
1060,7.36657,542.8
1061,7.37663,543.4
1062,7.38364,543.6
1063,7.39064,543.8
1064,7.39765,544
1065,7.40447,544.4
1066,7.41129,544.8
1067,7.41674,545.067
1068,7.4222,545.333
1069,7.42765,545.6
1070,7.43681,546.6
1071,7.44333,546.933
1072,7.44986,547.267
1073,7.45638,547.6
1074,7.4629,547.867
1075,7.46943,548.133
1076,7.47959,549.6
1077,7.48608,549.88
1078,7.49258,550.16
1079,7.49907,550.44
1080,7.50557,550.72
1081,7.51206,551
1082,7.51855,551.16
1083,7.52505,551.32
1084,7.53154,551.48
1085,7.53804,551.64
1086,7.54453,551.8
1087,7.55265,551.95
1088,7.56076,552.1
1089,7.56888,552.25
1090,7.577,552.4
1091,7.58326,552.75
1092,7.58953,553.1
1093,7.59579,553.45
1094,7.60206,553.8
1095,7.60832,554
1096,7.61458,554.2
1097,7.62085,554.4
1098,7.63256,556
1099,7.63886,556.32
1100,7.64516,556.64
1101,7.65146,556.96
1102,7.65776,557.28
1103,7.66406,557.6
1104,7.67194,557.8
1105,7.67981,558
1106,7.68769,558.2
1107,7.69556,558.4
1108,7.70186,558.6
1109,7.70816,558.8
1110,7.71446,559
1111,7.72076,559.2
1112,7.72706,559.4
1113,7.73494,559.6
1114,7.74281,559.8
1115,7.75068,560
1116,7.75856,560.2
1117,7.76486,560.4
1118,7.77116,560.6
1119,7.77746,560.8
1120,7.78376,561
1121,7.79006,561.2
1122,7.79761,561.6
1123,7.80516,562
1124,7.8127,562.4
1125,7.82025,562.8
1126,7.82629,563
1127,7.83233,563.2
1128,7.83836,563.4
1129,7.8444,563.6
1130,7.85044,563.8
1131,7.85799,564
1132,7.86553,564.2
1133,7.87308,564.4
1134,7.88063,564.6
1135,7.88818,564.8
1136,7.89573,565
1137,7.90328,565.2
1138,7.91083,565.4
1139,7.91687,565.6
1140,7.92291,565.8
1141,7.92894,566
1142,7.93498,566.2
1143,7.94102,566.4
1144,7.94857,566.6
1145,7.95612,566.8
1146,7.96366,567
1147,7.97121,567.2
1148,7.97849,567.65
1149,7.98577,568.1
1150,7.99305,568.55
1151,8.00033,569
1152,8.00761,569.2
1153,8.01489,569.4
1154,8.02217,569.6
1155,8.02945,569.8
1156,8.03527,569.96
1157,8.0411,570.12
1158,8.04692,570.28
1159,8.05275,570.44
1160,8.05857,570.6
1161,8.06585,570.8
1162,8.07313,571
1163,8.08041,571.2
1164,8.09149,572.8
1165,8.09331,574.2
1166,8.10051,574.6
1167,8.1077,575
1168,8.1149,575.4
1169,8.12209,575.8
1170,8.12928,576
1171,8.13648,576.2
1172,8.14367,576.4
1173,8.15086,576.6
1174,8.15805,576.8
1175,8.16525,577
1176,8.17244,577.2
1177,8.17964,577.4
1178,8.18683,577.55
1179,8.19403,577.7
1180,8.20123,577.85
1181,8.20842,578
1182,8.21561,578.2
1183,8.22281,578.4
1184,8.23001,578.6
1185,8.2372,578.8
1186,8.24433,579.267
1187,8.25145,579.733
1188,8.25858,580.2
1189,8.26393,580.4
1190,8.26928,580.6
1191,8.27462,580.8
1192,8.27997,581
1193,8.28749,581.35
1194,8.295,581.7
1195,8.30251,582.05
1196,8.31003,582.4
1197,8.31754,582.6
1198,8.32506,582.8
1199,8.33258,583
1200,8.34009,583.2
1201,8.3476,583.35
1202,8.35512,583.5
1203,8.36264,583.65
1204,8.37015,583.8
1205,8.37616,583.96
1206,8.38217,584.12
1207,8.38819,584.28
1208,8.3942,584.44
1209,8.40021,584.6
1210,8.40809,585
1211,8.41598,585.4
1212,8.42386,585.8
1213,8.43023,586.15
1214,8.43661,586.5
1215,8.44299,586.85
1216,8.44936,587.2
1217,8.45573,587.4
1218,8.46211,587.6
1219,8.46848,587.8
1220,8.47485,588
1221,8.48335,588.2
1222,8.49184,588.4
1223,8.50034,588.6
1224,8.50684,588.88
1225,8.51333,589.16
1226,8.51983,589.44
1227,8.52632,589.72
1228,8.53282,590
1229,8.53931,590.12
1230,8.54581,590.24
1231,8.5523,590.36
1232,8.5588,590.48
1233,8.56529,590.6
1234,8.57341,590.75
1235,8.58152,590.9
1236,8.58964,591.05
1237,8.59776,591.2
1238,8.6014,592.8
1239,8.60914,593.2
1240,8.61689,593.6
1241,8.62269,593.8
1242,8.6285,594
1243,8.64066,595
1244,8.64248,595.4
1245,8.64983,595.6
1246,8.65719,595.8
1247,8.66491,595.933
1248,8.67262,596.067
1249,8.68034,596.2
1250,8.68748,596.3
1251,8.69463,596.4
1252,8.70178,596.5
1253,8.70892,596.6
1254,8.71606,596.7
1255,8.72321,596.8
1256,8.73035,596.9
1257,8.73749,597
1258,8.74463,597.05
1259,8.75178,597.1
1260,8.75892,597.15
1261,8.76607,597.2
1262,8.77236,597.35
1263,8.77865,597.5
1264,8.78494,597.65
1265,8.79123,597.8
1266,8.79752,597.85
1267,8.80381,597.9
1268,8.8101,597.95
1269,8.81639,598
1270,8.82478,598.133
1271,8.83316,598.267
1272,8.84155,598.4
1273,8.84915,599.2
1274,8.85516,599.7
